ext_gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,log10FDR
Zfp275,1.0967857452989287,0.16426426604623598,0.026447156022077756,6.2110370547634774,5.263605860631553e-10,1.6243055302527296e-9,8.789332277051374
Haus7,1.213957108239709,0.1462970083105394,0.025245280807765478,5.795024005656466,6.83114091893013e-9,1.9963362010749177e-8,7.699766317769975
Bgn,13.517098081283526,-0.5385051418806904,0.046151125305944035,-11.668299273546287,1.8508633389931204e-31,9.65491092101052e-31,30.0152517287921
Slc6a8,1.3497411176561802,-0.15430416404731395,0.02612710815734779,-5.905902908122598,3.5072049552191597e-9,1.0416922180427057e-8,7.9822605802214674
Abcd1,1.1944238395104259,-0.10114495186972473,0.027357853448706747,-3.697108475976065,2.1806917594213888e-4,4.886315710474645e-4,3.311018476190363
Idh3g,1.9786819238717026,0.5929717756773418,0.017464062560643243,33.95382796060605,1.070973833045564e-252,2.2594786053623173e-251,250.64599176657757
Ssr4,5.46110938211347,-0.2768805946071976,0.02530112513884193,-10.943410345895424,7.146024197003017e-28,3.4984159682535385e-27,26.456128553354553
Naa10,1.5465095862962557,0.5275060636561659,0.020109355087932265,26.231873739835905,1.1508887853531572e-151,1.5591525531840471e-150,149.80711138977287
Renbp,1.4790617397794967,-0.3840872359110511,0.026748703584656818,-14.359097243552593,9.343630676016625e-47,6.066768312831606e-46,45.21704259025128
Hcfc1,1.225301378960001,0.2648350832999246,0.0243036116261626,10.896943523193574,1.1919415997448395e-27,5.8005723720563474e-27,26.236529150271366
Irak1,1.3833513729787534,0.10836765432282479,0.0239070598004829,4.532872516621047,5.8186935424993754e-6,1.4624693822639667e-5,4.834913217384584
Mecp2,1.2332750327486413,0.15550754962928037,0.02499203703636627,6.222283897987151,4.89969398703337e-10,1.5151804631048596e-9,8.819535638143108
Flna,1.8713783244302447,0.20752223773144832,0.021035509262712273,9.865329863884211,5.884072483615757e-23,2.626518684259644e-22,21.580619505410272
Emd,1.7658313613796786,0.2878945862442035,0.020098751394433602,14.324003546008166,1.5493439745460772e-46,1.0028852469962873e-45,44.99874875735586
Rpl10,2.36308996277934,0.5940104125249532,0.016634211557536756,35.710163386482506,2.74930200062598e-279,6.48817648416958e-278,277.18787734544014
Dnase1l1,1.5486405240009793,-0.2692826580285314,0.025242071641527166,-10.66800941906524,1.436712309578672e-26,6.838081923353434e-26,25.165065700461447
Atp6ap1,2.2094658649423784,-0.3559075439086676,0.02217287829353254,-16.051481417840098,5.58157372761232e-58,4.0114326360575415e-57,56.396700496502525
Gdi1,1.2914409741298862,0.09298538650254307,0.024863595518626606,3.739820591630961,1.8415164416413376e-4,4.15158774029552e-4,3.3817857791971866
Lage3,1.6944596144440032,0.27008576066612067,0.020616227861000938,13.100639093004657,3.264967697474061e-39,1.9094485430104457e-38,37.719092040766824
G6pdx,1.2416192218701005,-0.10876030477597831,0.026887038061994765,-4.045083155876238,5.230455499882833e-5,1.231787744942821e-4,3.9094641210203904
Gab3,1.096736758515822,-0.09057305558220911,0.028470996354510003,-3.1812394077969004,0.0014664638793668954,0.0030631414308591345,2.513832950557556
Dkc1,1.225819899940375,0.49740850010895227,0.022797496809820808,21.81855772405137,1.546605068339419e-105,1.6187140182207735e-104,103.7908298722345
Mpp1,1.9193179899876627,-0.39957917266430976,0.024605341413002385,-16.239529700374614,2.6494756119421625e-59,1.922926459411547e-58,57.716037324644766
Fundc2,2.529143493675084,0.795470362846498,0.017382487866739647,45.76274518037105,0,0,Inf
Brcc3,1.2961926095534284,0.1497977773112585,0.024410277820852422,6.136668267793909,8.427009880496823e-10,2.576747248758227e-9,8.588928178986144
Vbp1,1.5046471422075303,0.4244811237630947,0.020974285078059634,20.23816889030118,4.5163987717482875e-91,4.244319611535755e-90,89.37219191970473
Pls3,1.5414983749627331,0.09908162031150287,0.022706485252280827,4.363582439582995,1.2794969204374063e-5,3.148182397721177e-5,4.501940113660802
Tbl1x,1.434365150711388,0.24994617526538915,0.02254905510808766,11.084552060708791,1.4909478769806387e-28,7.372632114310573e-28,27.132377436341173
Tmem47,1.1923201905092573,0.7717282553439546,0.02149609459368277,35.900858734160416,2.961927852940753e-282,7.057823553787302e-281,280.1513292032408
Dmd,1.1101803211369228,0.11106233361691255,0.02668587754659559,4.161839288327289,3.156945056477557e-5,7.573993630121946e-5,4.120675064465265
Pola1,1.0849422429035869,0.08633935793274247,0.02718561383847003,3.1759208545280186,0.001493616950441887,0.0031167639524170647,2.5062960876957567
Pdk3,1.221013937205001,0.10234083156643464,0.025494703141408444,4.01419977313691,5.964781212330207e-5,1.3971268988830068e-4,3.8547641457958193
Eif2s3x,1.469568098893691,0.4425828362541101,0.02111640125291408,20.959198063781503,1.5467094392966933e-97,1.5184562135388738e-96,95.81859772695455
Apoo,1.180145034465338,0.26945327248475576,0.024740054569953297,10.891377451204402,1.2670912381197738e-27,6.156115332415634e-27,26.210693252426896
Maged1,2.191142231838492,1.156264546393773,0.022832633480551538,50.64087536720896,0,0,Inf
Amer1,1.1186254882205884,0.17645324497101178,0.026090399140808795,6.763148544363043,1.350246702085441e-11,4.4413073341322775e-11,10.352489173032241
Las1l,1.226280132097072,0.24060730321724627,0.024464169134101807,9.835089918580229,7.949656059201497e-23,3.5410355453055426e-22,21.450869713724078
Msn,3.127261940781341,0.11514168630096014,0.020418115970879572,5.639192492841937,1.7084946255012232e-8,4.8967091971839265e-8,7.31009568683504
Eda2r,1.0501285880824267,0.11147843959950322,0.02744445507416634,4.061965861528024,4.8661194499838856e-5,1.1485570607543308e-4,3.9398474240169223
Ar,1.2315548009480786,0.10381155361815587,0.025387307426146564,4.089112400759745,4.330269955181167e-5,1.0285089574193202e-4,3.9877919216252193
Ophn1,1.1918767530506174,-0.1620288921466495,0.027892555831702064,-5.809037118157923,6.283315916380595e-9,1.8398908368387482e-8,7.735207943493153
Stard8,1.1920588677121833,-0.19947815273091646,0.02819530701497244,-7.074870744446527,1.4958812363916392e-12,5.100335051424699e-12,11.292401293273565
Pja1,1.3053320843199039,0.19259902429297054,0.024029129565598512,8.01523100398553,1.0993020664208625e-15,4.138119179476897e-15,14.383197005636493
Igbp1,1.7432712989676387,0.4359724251656064,0.019416841289576985,22.45331352631685,1.187794022931648e-111,1.2814252587319743e-110,109.8923067196919
Pdzd11,1.4762539743105951,0.31294591755916684,0.02182944764121905,14.335952182695294,1.3044506690947986e-46,8.456745191677483e-46,45.07279675484276
Snx12,1.4090129990542397,0.16625148294771833,0.023294628533378665,7.1369020849376525,9.545779109323019e-13,3.2721402040011816e-12,11.485168096039976
Foxo4,1.1152590121482526,0.3912067214210137,0.024605613645508853,15.899084130032206,6.429789123481258e-57,4.585233638372156e-56,55.33863853016395
